City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
160,Okha,RU,67.08,overcast clouds,53.5739,142.9478,Империя
161,Japura,ID,71.71,clear sky,-0.3167,102.35,Rumah mbah Jamah
163,Williams Lake,CA,76.57,broken clouds,52.1415,-122.1445,Stampeder Motel
172,Lensk,RU,76.41,clear sky,60.7253,114.9278,ТинОрС
173,Gondanglegi,ID,69.87,few clouds,-7.7479,112.0132,Gg. Munasir Homestay
174,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
176,Katobu,ID,73.22,scattered clouds,-4.9408,122.5276,La Ode Husein
178,Denpasar,ID,73.06,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
179,Altay,CN,65.3,clear sky,47.8667,88.1167,Jinqiao Hotel
181,Mogadishu,SO,75.99,light rain,2.0371,45.3438,Hotel Juba
185,Dzaoudzi,YT,76.89,light rain,-12.7887,45.2699,Le Rocher
186,Port Elizabeth,ZA,68.09,clear sky,-33.918,25.5701,39 On Nile Guest House
191,Arvi,IN,76.71,overcast clouds,20.9833,78.2333,Geet shirbhate
192,Itarema,BR,79.23,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
194,Vila Velha,BR,73.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
203,Ambunti,PG,79.21,broken clouds,-4.2365,142.8448,Ambunti Lodge
209,Naze,JP,77.92,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
212,Methoni,GR,78.22,clear sky,36.8197,21.7049,Methoni Beach Hotel
214,Cairns,AU,74.1,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
219,Touros,BR,77.9,clear sky,-5.1989,-35.4608,INN NEW HORIZON
223,Juba,SS,69.57,overcast clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
225,Zhezkazgan,KZ,66.09,clear sky,47.8043,67.7144,Hotel Zumrat
231,Prudnik,PL,67.95,broken clouds,50.3212,17.5746,BIAŁA AKACJA Resort & Business
233,Kerema,PG,77.32,overcast clouds,-7.9631,145.7785,Frena Lodge
234,Soyo,AO,71.74,overcast clouds,-6.1349,12.3689,Hotel Mpampa
237,Alexandria,EG,76.96,clear sky,31.2156,29.9553,Royal Crown Hotel
243,Carutapera,BR,75.04,broken clouds,-1.195,-46.02,Lidera
245,Ryotsu,JP,78.76,overcast clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
247,Guerrero Negro,MX,77.31,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
248,Tangshan,CN,77.94,broken clouds,39.6333,118.1833,Civil Affairs Hotel
251,Mahebourg,MU,68.29,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
255,Den Helder,NL,65.98,broken clouds,52.9599,4.7593,Hotel Den Helder
257,Daru,PG,78.8,overcast clouds,-9.0763,143.2092,Daru Lodge
258,Gongzhuling,CN,77.23,overcast clouds,43.5008,124.8198,如家旅馆
259,Ayan,RU,68.99,clear sky,56.45,138.1667,Gostinitsa
260,Severnyy,RU,68.04,clear sky,50.677,36.5532,Full House North Mini-Hotel
261,Port Moresby,PG,78.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
266,The Pas,CA,75.22,few clouds,53.8251,-101.2541,Wescana Inn
267,Paita,PE,77.56,clear sky,-5.0892,-81.1144,Hotel Náutico de Paita
270,Sao Filipe,CV,75.18,few clouds,14.8961,-24.4956,Hotel Xaguate
272,Tampilisan,PH,78.12,overcast clouds,8.0167,122.6833,Vital Nature Farm Philippines
273,Presidencia Roque Saenz Pena,AR,67.12,overcast clouds,-26.7852,-60.4388,Hotel Gualok
274,Arraial Do Cabo,BR,71.56,clear sky,-22.9661,-42.0278,Pousada Porto Praia
277,Kruisfontein,ZA,65.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
279,Mahajanga,MG,68.02,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
