City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Gamba,GA,-2.65,10.0,70.57,91,84,6.13,broken clouds
128,Mount Gambier,AU,-37.8333,140.7667,48.11,76,35,14.97,scattered clouds
129,Conde,BR,-7.2597,-34.9075,76.46,83,0,6.91,clear sky
130,Luderitz,NA,-26.6481,15.1594,63.5,53,0,4.16,clear sky
131,Gat,IL,31.61,34.7642,80.82,82,0,5.1,clear sky
132,Lavrentiya,RU,65.5833,-171.0,45.66,98,100,3.62,overcast clouds
133,Kiama,AU,-34.6833,150.8667,62.58,63,79,8.99,broken clouds
134,Sinjai,ID,-5.1241,120.253,74.26,84,17,2.66,few clouds
135,Sept-Iles,CA,50.2001,-66.3821,65.05,90,90,3.0,overcast clouds
136,Codrington,AU,-38.2667,141.9667,48.92,70,20,17.74,few clouds
137,Beyneu,KZ,45.3167,55.2,79.95,23,10,10.92,clear sky
138,Crown Point,US,41.417,-87.3653,93.67,38,1,4.61,clear sky
139,Vilhena,BR,-12.7406,-60.1458,84.42,42,0,3.44,clear sky
140,Ruteng,ID,-8.6136,120.4721,59.86,76,55,1.66,broken clouds
141,Portland,US,45.5234,-122.6762,92.97,41,20,5.01,few clouds
142,Salalah,OM,17.0151,54.0924,77.25,88,95,11.83,overcast clouds
143,Mar Del Plata,AR,-38.0023,-57.5575,41.13,73,40,8.99,scattered clouds
144,Muisne,EC,0.6,-80.0333,75.94,84,89,9.93,overcast clouds
145,Ancud,CL,-41.8697,-73.8203,45.93,76,54,6.69,broken clouds
146,Richmond,US,37.5538,-77.4603,82.94,87,90,3.0,overcast clouds
147,Los Llanos De Aridane,ES,28.6585,-17.9182,68.13,95,15,15.1,few clouds
148,Upata,VE,8.0086,-62.3989,73.11,88,29,1.74,scattered clouds
149,Qaanaaq,GL,77.484,-69.3632,42.08,80,100,9.95,overcast clouds
150,Mamallapuram,IN,12.6264,80.1722,82.45,72,94,11.36,overcast clouds
151,Svetlogorsk,BY,52.6333,29.7333,64.54,64,43,6.46,scattered clouds
152,Buraydah,SA,26.326,43.975,97.25,15,43,12.75,scattered clouds
153,Gornyye Klyuchi,RU,45.25,133.5,81.75,66,61,3.29,broken clouds
154,Coquimbo,CL,-29.9533,-71.3436,56.93,82,20,11.5,few clouds
155,Mitsamiouli,KM,-11.3847,43.2844,75.4,69,0,12.06,clear sky
156,Pampa,US,35.5362,-100.9599,89.64,45,1,12.66,clear sky
157,Kununurra,AU,-15.7667,128.7333,64.38,88,100,2.3,overcast clouds
158,Dawlatabad,AF,36.4141,64.9053,86.68,28,0,5.84,clear sky
159,Hamilton,US,39.1834,-84.5333,88.41,49,0,1.01,clear sky
160,Okha,RU,53.5739,142.9478,67.08,94,100,5.79,overcast clouds
161,Japura,ID,-0.3167,102.35,71.71,86,1,2.51,clear sky
162,Iqaluit,CA,63.7506,-68.5145,51.53,81,75,3.0,broken clouds
163,Williams Lake,CA,52.1415,-122.1445,76.57,35,75,0.0,broken clouds
164,Listvyagi,RU,53.6772,86.951,60.06,96,81,5.35,light rain
165,Nome,US,64.5011,-165.4064,50.16,93,90,9.22,light rain
166,Khawhai,IN,23.3667,93.1167,63.39,98,100,1.28,overcast clouds
167,Elko,US,41.0002,-115.5012,98.62,3,24,5.01,few clouds
168,Olavarria,AR,-36.8927,-60.3225,40.33,45,38,11.5,scattered clouds
169,Madulao,PH,13.5622,122.3378,82.47,79,100,6.46,overcast clouds
170,Kuytun,RU,54.3419,101.5036,61.48,72,100,6.33,overcast clouds
171,Berlevag,NO,70.8578,29.0864,44.98,88,59,0.51,broken clouds
172,Lensk,RU,60.7253,114.9278,76.41,51,1,2.1,clear sky
173,Gondanglegi,ID,-7.7479,112.0132,69.87,89,22,7.76,few clouds
174,Avarua,CK,-21.2078,-159.775,78.85,73,20,8.05,few clouds
175,Casper,US,42.8666,-106.3131,97.39,15,1,3.0,smoke
176,Katobu,ID,-4.9408,122.5276,73.22,87,35,2.57,scattered clouds
177,Komsomolskiy,UZ,40.4272,71.7189,84.92,26,3,4.61,clear sky
178,Denpasar,ID,-8.65,115.2167,73.06,94,40,3.44,scattered clouds
179,Altay,CN,47.8667,88.1167,65.3,53,6,4.74,clear sky
180,General Roca,AR,-39.0333,-67.5833,50.4,32,18,11.43,few clouds
181,Mogadishu,SO,2.0371,45.3438,75.99,82,82,21.74,light rain
182,Tuatapere,NZ,-46.1333,167.6833,46.81,85,74,4.97,broken clouds
183,Edgewater,US,28.9889,-80.9023,89.26,68,79,10.94,broken clouds
184,Bilibino,RU,68.0546,166.4372,54.27,48,60,10.4,broken clouds
185,Dzaoudzi,YT,-12.7887,45.2699,76.89,73,0,13.8,light rain
186,Port Elizabeth,ZA,-33.918,25.5701,68.09,29,0,8.05,clear sky
187,Asosa,ET,10.0667,34.5333,56.21,93,80,3.36,broken clouds
188,Bangaon,IN,23.0667,88.8167,82.35,89,100,4.05,light rain
189,Hirara,JP,24.8,125.2833,82.26,100,75,2.3,mist
190,Point Pedro,LK,9.8167,80.2333,83.1,79,100,20.36,overcast clouds
191,Arvi,IN,20.9833,78.2333,76.71,82,100,15.59,overcast clouds
192,Itarema,BR,-2.9248,-39.9167,79.23,80,21,18.92,few clouds
193,Yulara,AU,-25.2406,130.9889,40.84,56,22,0.0,few clouds
194,Vila Velha,BR,-20.3297,-40.2925,73.35,83,40,6.91,scattered clouds
195,Araouane,ML,18.9048,-3.5265,99.64,24,46,12.01,scattered clouds
196,Shihezi,CN,44.3,86.0333,81.73,24,14,6.4,few clouds
197,Baykit,RU,61.67,96.37,70.36,65,32,3.13,scattered clouds
198,Conceicao Do Mato Dentro,BR,-19.0372,-43.425,57.52,80,0,2.26,clear sky
199,Constitucion,CL,-35.3333,-72.4167,47.52,67,0,13.18,clear sky
200,Ustyuzhna,RU,58.8394,36.4321,59.5,73,29,3.13,scattered clouds
201,Saint-Joseph,RE,-21.3667,55.6167,64.76,78,45,12.17,scattered clouds
202,Sisimiut,GL,66.9395,-53.6735,59.68,62,46,6.96,scattered clouds
203,Ambunti,PG,-4.2365,142.8448,79.21,86,63,1.72,broken clouds
204,Barra Da Estiva,BR,-13.6261,-41.3269,63.0,70,72,5.99,broken clouds
205,Airai,TL,-8.9266,125.4092,60.19,52,32,2.77,scattered clouds
206,Reoti,IN,25.85,84.3833,82.29,79,100,6.73,overcast clouds
207,Bonavista,CA,48.6499,-53.1147,64.4,80,17,14.07,few clouds
208,The Valley,AI,18.217,-63.0578,84.06,78,40,12.66,scattered clouds
209,Naze,JP,28.3667,129.4833,77.92,85,100,13.38,overcast clouds
210,Esperance,AU,-33.8667,121.9,55.24,64,34,31.9,scattered clouds
211,Cockburn Town,TC,21.4612,-71.1419,82.62,83,10,14.12,clear sky
212,Methoni,GR,36.8197,21.7049,78.22,65,0,5.28,clear sky
213,Elizabeth City,US,36.2946,-76.2511,88.02,74,1,3.0,clear sky
214,Cairns,AU,-16.9167,145.7667,74.1,76,40,10.36,scattered clouds
215,Dhidhdhoo,MV,6.8833,73.1,81.66,77,100,13.35,overcast clouds
216,Torbay,CA,47.6666,-52.7314,61.68,79,75,10.36,broken clouds
217,Aykhal,RU,66.0,111.5,77.72,45,14,2.55,few clouds
218,Ahuimanu,US,21.4447,-157.8378,83.91,63,40,11.5,scattered clouds
219,Touros,BR,-5.1989,-35.4608,77.9,83,2,11.14,clear sky
220,Yar-Sale,RU,66.8333,70.8333,47.01,79,15,7.54,few clouds
221,Dalvik,IS,65.9702,-18.5286,53.53,76,94,6.55,overcast clouds
222,Port Shepstone,ZA,-30.7414,30.455,57.45,66,93,6.85,overcast clouds
223,Juba,SS,4.8517,31.5825,69.57,85,95,1.68,overcast clouds
224,Sola,VU,-13.8833,167.55,80.26,78,29,17.0,scattered clouds
225,Zhezkazgan,KZ,47.8043,67.7144,66.09,34,0,10.09,clear sky
226,Guane,CU,22.2025,-84.0875,85.35,64,40,5.55,scattered clouds
227,Zhigansk,RU,66.7697,123.3711,55.72,67,24,16.71,few clouds
228,Cahors,FR,44.4167,1.3333,63.9,77,75,1.83,broken clouds
229,Santa Cruz,BO,-17.8,-63.1667,82.45,57,20,13.8,few clouds
230,Mont-De-Marsan,FR,44.0,-0.6667,62.42,82,0,0.0,clear sky
231,Prudnik,PL,50.3212,17.5746,67.95,98,82,2.62,broken clouds
232,Hambantota,LK,6.1241,81.1185,80.04,82,97,17.56,overcast clouds
233,Kerema,PG,-7.9631,145.7785,77.32,87,100,2.82,overcast clouds
234,Soyo,AO,-6.1349,12.3689,71.74,89,100,4.12,overcast clouds
235,Kazerun,IR,29.6195,51.6541,93.85,12,3,13.13,clear sky
236,Jackson,US,42.4165,-122.8345,99.75,28,1,10.36,clear sky
237,Alexandria,EG,31.2156,29.9553,76.96,78,0,5.75,clear sky
238,Khandagayty,RU,50.7333,92.05,61.59,65,8,5.77,clear sky
239,Minuri,PH,16.535,121.8574,82.02,70,100,4.72,light rain
240,Dolores,AR,-36.3132,-57.6792,43.39,50,76,7.92,broken clouds
241,Geraldton,AU,-28.7667,114.6,63.01,77,90,23.02,overcast clouds
242,Aquiraz,BR,-3.9014,-38.3911,80.69,83,26,11.9,scattered clouds
243,Carutapera,BR,-1.195,-46.02,75.04,92,78,5.95,broken clouds
244,Gazojak,TM,41.1875,61.4036,81.1,19,0,12.33,clear sky
245,Ryotsu,JP,38.0833,138.4333,78.76,88,100,6.33,overcast clouds
246,Wajima,JP,37.4,136.9,80.83,73,100,11.12,overcast clouds
247,Guerrero Negro,MX,27.9769,-114.0611,77.31,56,0,15.03,clear sky
248,Tangshan,CN,39.6333,118.1833,77.94,85,67,6.22,broken clouds
249,Port Macquarie,AU,-31.4333,152.9167,54.9,60,1,3.94,clear sky
250,Panama City,PA,8.9936,-79.5197,82.92,83,40,3.44,scattered clouds
251,Mahebourg,MU,-20.4081,57.7,68.29,94,75,11.5,light intensity shower rain
252,Butembo,CD,0.15,29.2833,59.5,88,99,2.57,overcast clouds
253,Batemans Bay,AU,-35.7167,150.1833,56.19,55,100,7.92,overcast clouds
254,Ewa Beach,US,21.3156,-158.0072,84.15,61,75,10.36,broken clouds
255,Den Helder,NL,52.9599,4.7593,65.98,94,75,12.66,broken clouds
256,Otane,NZ,-39.8833,176.6333,56.01,58,4,11.16,light rain
257,Daru,PG,-9.0763,143.2092,78.8,81,89,17.2,overcast clouds
258,Gongzhuling,CN,43.5008,124.8198,77.23,77,98,11.61,overcast clouds
259,Ayan,RU,56.45,138.1667,68.99,59,4,8.01,clear sky
260,Severnyy,RU,50.677,36.5532,68.04,52,0,4.47,clear sky
261,Port Moresby,PG,-9.4431,147.1797,78.22,78,40,8.05,scattered clouds
262,Hammerfest,NO,70.6634,23.6821,48.65,100,0,0.0,clear sky
263,Bay Roberts,CA,47.5999,-53.2648,62.51,81,15,5.99,few clouds
264,San Andres,CO,12.5847,-81.7006,84.22,79,75,10.36,broken clouds
265,Liverpool,GB,53.4106,-2.9779,64.15,79,0,3.0,clear sky
266,The Pas,CA,53.8251,-101.2541,75.22,50,20,4.99,few clouds
267,Paita,PE,-5.0892,-81.1144,77.56,80,0,17.16,clear sky
268,Hutchinson,US,38.0608,-97.9298,95.52,49,75,12.66,broken clouds
269,Qaqortoq,GL,60.7167,-46.0333,50.76,80,21,1.43,few clouds
270,Sao Filipe,CV,14.8961,-24.4956,75.18,82,24,10.04,few clouds
271,Bethel,US,41.3712,-73.414,86.36,69,47,4.23,scattered clouds
272,Tampilisan,PH,8.0167,122.6833,78.12,90,100,6.22,overcast clouds
